nama,harga,label,deskripsi
Adidas Ultraboost,1999000,Sepatu olahraga,"Sepatu olahraga dengan teknologi Boost yang memberikan kenyamanan dan responsivitas pada setiap langkah."
Nike Air Force 1,1299000,Sepatu casual,"Sepatu casual dengan desain klasik yang cocok untuk dipakai sehari-hari atau acara santai."
Vans Old Skool,799000,Sepatu skate,"Sepatu skate dengan desain klasik dan sol karet yang memberikan grip maksimal pada board."
Puma RS-X,1599000,Sepatu fashion,"Sepatu fashion dengan desain chunky yang unik dan warna-warna yang menarik perhatian."
Reebok Classic Leather,999000,Sepatu retro,"Sepatu retro dengan desain klasik yang awet dan tahan lama."
Converse Chuck Taylor All Star,749000,Sepatu casual,"Sepatu casual dengan desain simpel yang dapat dipakai untuk berbagai kesempatan."
New Balance Fresh Foam 1080v11,2399000,Sepatu lari,"Sepatu lari dengan teknologi Fresh Foam yang memberikan kenyamanan dan dukungan maksimal pada kaki."
Under Armour Curry 8,1999000,Sepatu basket,"Sepatu basket dengan desain signature dari Stephen Curry yang memberikan stabilitas dan responsivitas saat bermain."
Asics Gel-Kayano 28,2299000,Sepatu lari,"Sepatu lari dengan teknologi Gel yang memberikan perlindungan dan dukungan maksimal pada kaki."
Adidas Superstar,899000,Sepatu casual,"Sepatu casual dengan desain klasik dan logo stripe dari Adidas yang ikonik."

